"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"09/07/2021","74.56","73.26","74.76","72.72","422.15K","2.22%"
"08/07/2021","72.94","72.17","73.26","70.76","529.69K","1.02%"
"07/07/2021","72.20","73.85","74.86","71.07","607.97K","-1.59%"
"06/07/2021","73.37","75.35","76.98","72.94","714.04K","-3.78%"
"05/07/2021","76.25","75.15","76.40","74.75","","1.48%"
"04/07/2021","75.14","75.22","75.28","75.00","","-0.03%"
"02/07/2021","75.16","75.02","75.62","74.41","377.53K","-0.09%"
"01/07/2021","75.23","73.50","76.22","73.39","615.68K","2.40%"
"30/06/2021","73.47","73.47","74.14","72.82","383.63K","0.67%"
"29/06/2021","72.98","72.78","73.81","71.97","321.45K","0.10%"
"28/06/2021","72.91","73.99","74.45","72.62","354.70K","-1.54%"
"25/06/2021","74.05","73.32","74.18","72.85","364.72K","1.02%"
"24/06/2021","73.30","73.28","73.61","72.32","334.83K","0.30%"
"23/06/2021","73.08","72.91","74.25","72.82","429.21K","0.03%"
"22/06/2021","73.06","73.41","73.95","72.94","29.00K","-0.81%"
"21/06/2021","73.66","71.52","73.96","71.15","123.66K","2.82%"
"18/06/2021","71.64","71.10","72.17","70.16","139.58K","0.84%"
"17/06/2021","71.04","71.65","72.30","69.77","373.78K","-1.54%"
"16/06/2021","72.15","72.45","72.99","71.61","426.78K","0.04%"
"15/06/2021","72.12","71.16","72.49","70.81","336.04K","1.75%"
"14/06/2021","70.88","70.65","71.78","70.65","319.64K","-0.04%"
"11/06/2021","70.91","70.10","71.24","69.68","563.58K","0.88%"
"10/06/2021","70.29","69.76","70.65","68.68","492.46K","0.47%"
"09/06/2021","69.96","70.01","70.62","69.46","410.82K","-0.13%"
"08/06/2021","70.05","69.29","70.27","68.47","441.30K","1.18%"
"07/06/2021","69.23","69.52","70.00","68.93","365.62K","-0.56%"
"04/06/2021","69.62","68.91","69.76","68.33","326.25K","1.18%"
"03/06/2021","68.81","68.76","69.40","68.19","351.37K","-0.03%"
"02/06/2021","68.83","67.99","69.00","67.78","333.00K","1.64%"
"01/06/2021","67.72","66.68","68.87","66.41","570.99K","1.14%"
